skill_id,repository,path,current_requested_ref,proposed_ref,decision,reason
mattpocock/tdd,https://github.com/mattpocock/skills.git,skills/engineering/tdd,c55ee46073ed923f86ce59a5eb3b6d895095d1b7,,omit,The existing commit recorded an earlier catalog snapshot; the skill itself can follow the upstream default branch.
mattpocock/teach,https://github.com/mattpocock/skills.git,skills/productivity/teach,c55ee46073ed923f86ce59a5eb3b6d895095d1b7,,omit,The existing commit recorded an earlier catalog snapshot; the skill itself can follow the upstream default branch.
mattpocock/to-questionnaire,https://github.com/mattpocock/skills.git,skills/productivity/to-questionnaire,c55ee46073ed923f86ce59a5eb3b6d895095d1b7,,omit,The existing commit recorded an earlier catalog snapshot; the skill itself can follow the upstream default branch.
mattpocock/to-spec,https://github.com/mattpocock/skills.git,skills/engineering/to-spec,c55ee46073ed923f86ce59a5eb3b6d895095d1b7,,omit,The existing commit recorded an earlier catalog snapshot; the skill itself can follow the upstream default branch.
mattpocock/to-tickets,https://github.com/mattpocock/skills.git,skills/engineering/to-tickets,c55ee46073ed923f86ce59a5eb3b6d895095d1b7,,omit,The existing commit recorded an earlier catalog snapshot; the skill itself can follow the upstream default branch.
mattpocock/triage,https://github.com/mattpocock/skills.git,skills/engineering/triage,c55ee46073ed923f86ce59a5eb3b6d895095d1b7,,omit,The existing commit recorded an earlier catalog snapshot; the skill itself can follow the upstream default branch.
mattpocock/wait-what,https://github.com/mattpocock/skills.git,skills/productivity/wait-what,c55ee46073ed923f86ce59a5eb3b6d895095d1b7,,omit,The existing commit recorded an earlier catalog snapshot; the skill itself can follow the upstream default branch.
mattpocock/wayfinder,https://github.com/mattpocock/skills.git,skills/engineering/wayfinder,c55ee46073ed923f86ce59a5eb3b6d895095d1b7,,omit,The existing commit recorded an earlier catalog snapshot; the skill itself can follow the upstream default branch.
mattpocock/wizard,https://github.com/mattpocock/skills.git,skills/engineering/wizard,c55ee46073ed923f86ce59a5eb3b6d895095d1b7,,omit,The existing commit recorded an earlier catalog snapshot; the skill itself can follow the upstream default branch.
mattpocock/writing-for-agents,https://github.com/mattpocock/skills.git,skills/productivity/writing-for-agents,c55ee46073ed923f86ce59a5eb3b6d895095d1b7,,omit,The existing commit recorded an earlier catalog snapshot; the skill itself can follow the upstream default branch.
superpowers/brainstorming,https://github.com/obra/superpowers.git,skills/brainstorming,5bf4e78011075bcfc0dc295f0724994cd123ee71,,omit,The existing commit recorded an earlier catalog snapshot; the skill itself can follow the upstream default branch.
superpowers/diagnosing-superpowers,https://github.com/obra/superpowers.git,skills/diagnosing-superpowers,5bf4e78011075bcfc0dc295f0724994cd123ee71,,omit,The existing commit recorded an earlier catalog snapshot; the skill itself can follow the upstream default branch.
superpowers/dispatching-parallel-agents,https://github.com/obra/superpowers.git,skills/dispatching-parallel-agents,5bf4e78011075bcfc0dc295f0724994cd123ee71,,omit,The existing commit recorded an earlier catalog snapshot; the skill itself can follow the upstream default branch.
superpowers/executing-plans,https://github.com/obra/superpowers.git,skills/executing-plans,5bf4e78011075bcfc0dc295f0724994cd123ee71,,omit,The existing commit recorded an earlier catalog snapshot; the skill itself can follow the upstream default branch.
superpowers/finishing-a-development-branch,https://github.com/obra/superpowers.git,skills/finishing-a-development-branch,5bf4e78011075bcfc0dc295f0724994cd123ee71,,omit,The existing commit recorded an earlier catalog snapshot; the skill itself can follow the upstream default branch.
superpowers/receiving-code-review,https://github.com/obra/superpowers.git,skills/receiving-code-review,5bf4e78011075bcfc0dc295f0724994cd123ee71,,omit,The existing commit recorded an earlier catalog snapshot; the skill itself can follow the upstream default branch.
superpowers/requesting-code-review,https://github.com/obra/superpowers.git,skills/requesting-code-review,5bf4e78011075bcfc0dc295f0724994cd123ee71,,omit,The existing commit recorded an earlier catalog snapshot; the skill itself can follow the upstream default branch.
superpowers/subagent-driven-development,https://github.com/obra/superpowers.git,skills/subagent-driven-development,5bf4e78011075bcfc0dc295f0724994cd123ee71,,omit,The existing commit recorded an earlier catalog snapshot; the skill itself can follow the upstream default branch.
superpowers/systematic-debugging,https://github.com/obra/superpowers.git,skills/systematic-debugging,5bf4e78011075bcfc0dc295f0724994cd123ee71,,omit,The existing commit recorded an earlier catalog snapshot; the skill itself can follow the upstream default branch.
superpowers/test-driven-development,https://github.com/obra/superpowers.git,skills/test-driven-development,5bf4e78011075bcfc0dc295f0724994cd123ee71,,omit,The existing commit recorded an earlier catalog snapshot; the skill itself can follow the upstream default branch.
superpowers/using-git-worktrees,https://github.com/obra/superpowers.git,skills/using-git-worktrees,5bf4e78011075bcfc0dc295f0724994cd123ee71,,omit,The existing commit recorded an earlier catalog snapshot; the skill itself can follow the upstream default branch.
superpowers/using-superpowers,https://github.com/obra/superpowers.git,skills/using-superpowers,5bf4e78011075bcfc0dc295f0724994cd123ee71,,omit,The existing commit recorded an earlier catalog snapshot; the skill itself can follow the upstream default branch.
superpowers/verification-before-completion,https://github.com/obra/superpowers.git,skills/verification-before-completion,5bf4e78011075bcfc0dc295f0724994cd123ee71,,omit,The existing commit recorded an earlier catalog snapshot; the skill itself can follow the upstream default branch.
superpowers/writing-plans,https://github.com/obra/superpowers.git,skills/writing-plans,5bf4e78011075bcfc0dc295f0724994cd123ee71,,omit,The existing commit recorded an earlier catalog snapshot; the skill itself can follow the upstream default branch.
superpowers/writing-skills,https://github.com/obra/superpowers.git,skills/writing-skills,5bf4e78011075bcfc0dc295f0724994cd123ee71,,omit,The existing commit recorded an earlier catalog snapshot; the skill itself can follow the upstream default branch.
